Domeniu,Contine_IP,Contile_A_Rond,lungime_URL,adancime_URL,Redirectionare,domeniu_http,URL_scurt,sufix_prefix,dns_inregistrat,trafic_web,varsta_domeniu,valabilitate_domeniu,existenta_iframe,contine_mouseOver,putem_da_clic_dreapta,redirectionare_web,eticheta
bit.ly,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
serviceupdateconfirmation.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xj45g.mjt.lu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
adnet8.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
if-people-hold-on-to-the-belief-admin.my.id,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
cla2020gov.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
blockchainprivados.000webhostapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
nocontent-tyvnrwno.velocityhub.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
rebrand.ly,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
lmgxzmmkheehnixsnhktkdmkgr-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
scotland.op.org,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
s.id,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xhlhs.mjt.lu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
ubsbank-online.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
chatgrup.duckdns.org,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.idiomas247.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
docs.google.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
wallieget.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
docsharex-authorize.firebaseapp.com,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1
lunaclothing-my.sharepoint.com,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
albel.intnet.mu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
is.gd,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
5884004.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
onedrive.live.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
weboutlookstorageaccess.activehosted.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
webrsaprescomfb.000webhostapp.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
aijcs.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
revisionara.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xucdaxleimwudtposjrquwdtrj-dot-poised-bot-306515.uk.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
kansasfootcenter-my.sharepoint.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
doclab-console-auth.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
sunge-ode.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
apporg.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
user-roblox-o.000webhostapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
officeee.bubbleapps.io,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
customer-service-client.gcommindia.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
b2bchdistribution.app.link,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
roldanlogistica2-my.sharepoint.com,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
gspuyulvxvlrunvcicpebrmdyu-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
meuspontosbradesco.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
lloyduk-online.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
lizzweightwatchers.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
nsooxqcyqbhwczpeyratdwtpxy-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
antiguatabernaqueirolo.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
fanxtv.info,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
netflix-com.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
info.ipromoteuoffers.com,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xjup3.mjt.lu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
messagerie-orange161.yolasite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.formbuddy.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
nocontent-dfcrlajk.velocityhub.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
olx.pl.dostawa.oferta-payment.bid,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
www.jaccs-jp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
accounts.paxful.com.bitsope.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.servlices.runescape.com-mv.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
mail.filedtuin.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
new-device-payment.com,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
efashion.world,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
betebetgirisimiz.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
otomati-srl.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
banking.sparkasse.de-id1877au9015101fj82ca7fnas19basssdfhswhboa1802bauc248naxx.xyz,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
nwolbsecure.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.michelleberkey.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
congresosba.com.ar,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3wondersexpeditions.com,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
doveadolescentservices-my.sharepoint.com:443,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
ydrdkbcff.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
patricepurnell.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
testfirebase001-cf40b.web.app,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
bit.ly,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
main.d25p8q0uyge9hf.amplifyapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
docs.google.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
grmjguciordvibvyrdjjcnigzg-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
secure273.inmotionhosting.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
miseajourorg.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1drv.ms,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
firebasestorage.googleapis.com,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
freeonlinesurveys.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
vcs-gratis-bigo-live66.000webhostapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
zkhvfpgapichhmnjcxjqhwowij-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
biquyetcongai.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
secure-halifaxaccount.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
getco-genetics.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
piteqdiwdkjxpcwdbnbtntawuj-dot-gl909989876787.uk.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
olx.polska-ofertl.store,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1drv.ms,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
firebasestorage.googleapis.com,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
mee-ralbead.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
obslive.oss-eu-west-1.aliyuncs.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
ykjixqdvuawmeuuhnzcfuezmmb-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
reegme.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
api.bdisl.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
amazonhelp02.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
betasusgirisimiz1.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
mccarthyelectrical.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xn--wwwbmobnking-b45f.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
paypal.com.service.id999.sorttheweb.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
xn--www-bmobnking-pf2g.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
tyrecentre.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
bibliotecabayer.org.ar,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
theduecfoinv.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
myownrecords.rocks,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
onedrive.live.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
test102760.test-account.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
setona.main.jp,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
moneyviewfinance.in,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
procurement.tevta.gop.pk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
lloydsbank.protect-secure-prevent.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
185.177.54.1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
lnstagram.cyou,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
whatsapp.blazagency.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
energygain.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
sswebmail-4w5twsr.web.app,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
fedexvoyager.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
hsbc.web-payee-remove.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
email302.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
docs.google.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
lanubegeek.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
soaresrefrigeracao.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
charperimagedesign.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
beamss5.tokyo,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
vlttszmawuqrffeudikastnyee-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
facebook-login.tbit.vn,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
www.grupwavidioviral.1evnt-net.ml,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
xj45g.mjt.lu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
arrowsurfandsport.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
services.runescape.com-oc.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
login.officeservers.tk,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ebay.payment-issues-help.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
securityposte.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
platotech.com.au,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www-europe564598-com.filesusr.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
rolasellsrealestate.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
app-1533526563.000webhostapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
orangeboitevocale147.wixsite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.chatwhatsappgroups11.otzo.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.melodika.com.tr,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.daniel-treufeld.de,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
support.telproserv.com,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
52.139.36.41,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
new1-paypal.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
aervszg.000webhostapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
new-payee-lloyds.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
51jianli.cn,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
aibbankings.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
jnhiqaasisespuzyxxjxgtqeqa-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
trackpp.locatedeliverypoint.link,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
fb68723-page24354-real-estate-item98746.house,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.idcarmenia.am,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
hyperurl.co,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.holidayinnboston.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
dqjychiodigvqpzwekrjbkxspn-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
www.appleid.apple.com.ac-count.eu,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
betasusgirisburasi3.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
link.upnyk.ac.id,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.apkandroid.ru,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
lloydsbank.secure-verify-auth.co.uk,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
monitor254.co.ke,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
003firma03digiitalcostariccr.000webhostapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
servizio-multiplo.yolasite.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
safety1-pages-appconfrimss-35437837.ga,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
bottsproperties.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
lecord.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
ronaldjamesgroup.co,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
secure.oldschool.com-ez.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
fb-security-10000000248768245582347695155261-hk.tk,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
www.bruxellons.be,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.unlock-account.dynamic-dns.net,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
blog.weiwanjia.com,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.lloyduk-newpayee-confirmed-online.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
owambewww.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
itaucardverificacao.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
momrnsvuryoydanfsgmupplvdv-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
sandbox.plantstny.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
mariscoselcamaron.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
onailsupply.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
sl.al,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
acessobradesco.digital,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
alternanetworks-my.sharepoint.com,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
irs-gov.credit,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
dekasse-berliner.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
sites.google.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
messagerievocale91.wixsite.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
centerstlending-my.sharepoint.com,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1
xj3pr.mjt.lu,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
smash7289eui.fastpluscheap.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
applewriters.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1
hortipower.co.uk,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
vevobahiss1.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
bt-service.yolasite.com,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
www.mybpos.net,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1
51jianli.cn,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
sekabetgiriss.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
titelinedrillingintl.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.khabargharghoda.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
duemiglia.evoluzioneufficio.net,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
unitus.mk.ua,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
www.amazon-check-co-jp.x8g.top,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
zeebracross.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
www.webcase.me,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
xfjjrmvqlfymgjbqipetmstgpt-dot-gle39404049.rj.r.appspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
jamescamacho28.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
snprobbx.pbz.r.uk.a2ip.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
euronipponmotor.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
eracvv.me,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
78689snusgh.tonohost.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
phx.chromeproxy.net,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
www.val-gardena.net,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
marjaharmon.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
5x.to,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
cardano-wallet.web.app,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
7yatra.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
aqtv.tv,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
hoholdenis.000webhostapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
firebasestorage.googleapis.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
hitsem.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
forms.office.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
qare.nl,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
